Organization Name,Address,Street,City,State,Zip,X,Y,Website,Type of Organization,Type of School,Headstart/EHS,Type of Comm Org,Proximity to Englewood,Description of Services Provided in Englewood,Org Age Category,Size of org,Young children,ES Age,HS Age to 21,Location services provided,Family Stability,Foster care,Adoption services,Family support,Safe Place to Live,Provision of Food/clothing,Education,High School/GED Completion,Tutoring/homework help,Parenting classes/workshops,Leadership/ character development programs (through mentoring),Service learning,College/career prep,Academic counseling,Enrichment field trips,Early childhood,Home visiting,Behavioral/self-management programs/workshops,Student clubs or curriculum enhancement (not tutoring),Arts/language programs,Health,"Preventive health visits (includes prenatal, dental/vision)",Vaccinations,Cessation programs,Nutrition & Wellness programs/counseling,Management of chronic conditions,Mental health counseling (general),Family & child counseling,Sexual assault counseling,Domestice violence support/counseling,Anger management counseling,Physical activity/sports,Family planning,HIV/AIDS programs,Substance abuse/addiction treatment,Public Safety,Engage youth to prevent gang participation,Workshops focused on violence prevention,Economic,Job training,youth employment (internships),Job placement (long-term),Dance,Media Arts,Music,OtherDiscipline,Theater,Visual Arts,Field Trips,In School Performance,Other Services,After School Programs,Professional development,Residency,Resources,Writing/poetry,Arts & crafts
Community Organizing and Family Issues (COFI),"1436 W Randolph St, Chicago, Illinois, 60607",1436 W Randolph St,Chicago,Illinois,60607,-87.663561,41.884244,http://www.cofionline.org,Community organization,,,Social service agency with specific focus on supporting Englewood,near,"Programs include parent leadership training; support for parent action teams and parent-led campaigns, including running Parent Peace Centers, early learning outreach, and summer meal site outreach, as well as training on COFI’s parent leadership model.",16 or more years,m,1,1,1,School,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 7 Police Station,"1438 W 63rd St, Chicago, Illinois, 60636",1438 W 63rd St,Chicago,Illinois,60636,-87.660862,41.779558,http://home.chicagopolice.org/community/districts/7th-district-englewood/,Public Agency,,,,in,"Youth resources include internet safety programs,  sports leagues, Peer Jury Program, and an internship program.",,,,1,1,Community sites,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,
Carra House LLC,"1443 W 63rd St, Chicago, Illinois, 60636",1443 W 63rd St,Chicago,Illinois,60636,-87.661021,41.779493,http://www.carrahouse.com,Community Organization,,,Social service agency with specific focus on supporting Englewood,In,"Provides educational instruction and fully accredited High School Diploma and GED classes leading to graduation. The ""I Choose Me"" program helps at-risk teens develop skills to place their lives on a path to success. The Carra Cares Foundation receives gifts from sponsors that provide scholarships to our educational, intervention and summer ""boot camp"" programs.",,s,,,1,Center,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jellybean Learning Center V, Inc","1455 W 63rd St, Chicago, Illinois, 60636",1455 W 63rd St,Chicago,Illinois,60636,-87.661541,41.779483,,Early Childhood Program,,1,,in,Early childhood program including Head Start,,,1,,,center,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crystal Palace Early Literacy Zone,"1459 W 74th St, Chicago, Illinois, 60636",1459 W 74th St,Chicago,Illinois,60636,-87.661271,41.759463,,Early Childhood Program,,1,,in,Early childhood program including Head Start,,,1,,,center,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Children's Theatre,"1464 N Milwaukee Ave, Chicago, Illinois, 60622",1464 N Milwaukee Ave,Chicago,Illinois,60622,-87.674588,41.908506,http://www.chicagochildrenstheatre.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Forward Momentum Chicago, NFP","1530 S State St, Chicago, Illinois, 60605",1530 S State St,Chicago,Illinois,60605,-87.627379,41.861009,http://forwardmomentumchicago.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,1,1,1,1,1,,
Clara's House Shelter,"1650 W 63rd St, Chicago, Illinois, 60636",1650 W 63rd St,Chicago,Illinois,60636,-87.666252,41.779449,http://www.clarashousechicago.org/,Community organization,,,Social service agency with specific focus on supporting Englewood,in,"Programs are designed to meet basic needs for employment, housing, health care, and education through training and projects directed at advocacy, social services, empowerment, and self-awareness",16 or more years,m,1,1,1,Center,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Phoenix Diverse Holistics Collaborative,"1658 E 83rd Pl, Chicago, Illinois, 60617",1658 E 83rd Pl,Chicago,Illinois,60617,-87.583757,41.743344,http://phoenixdiverseholistics.com/,Community organization,,,Social service agency with specific focus on supporting Englewood,near,"Services include restorative practices, healing/peace circles, nutrition classes, cultural immersion, parent education classes, sankofa rites of passage, emotional health management, social emotional learning, martial arts, stress reduction",6 to 15 years,m,1,1,1,Center,,,,,,,1,,,1,,,,,,,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storybus: America's Children's Museum on Wheels,"1658 N Milwaukee Ave, Chicago, Illinois, 60647",1658 N Milwaukee Ave,Chicago,Illinois,60647,-87.679597,41.911716,http://www.storybus.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,1,0,0,1,,
Goodman Theatre,"170 N Dearborn St, Chicago, Illinois, 60601",170 N Dearborn St,Chicago,Illinois,60601,-87.629501,41.884935,http://www.goodmantheatre.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,1,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,1,1,1,1,0,1,,
Kiddie Steps 4 You Learning Center INC,"1700 W 63rd St, Chicago, Illinois, 60636",1700 W 63rd St,Chicago,Illinois,60636,-87.666822,41.779438,,Early Childhood Program,,1,,in,Early childhood program including Head Start,,,1,,,center,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freidheim Englewood Child & Family Center  (Children's Home + Aid),"1701 W 63rd St, Chicago, Illinois, 60636",1701 W 63rd St,Chicago,Illinois,60636,-87.666861,41.779383,,Early Childhood Program,,1,,in,"The center supports a wide range of programs serving children and parents including Head Start, Early Head Start, Child Care Referral, Computer Literacy, GED Parental Education, Parent Support Services, Job Readiness Training, Raising A Reader, and Subsequent Pregnancy Prevention.",,,1,,,center,,,,,,,1,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,
West Englewood Library,"1745 W 63rd St, Chicago, Illinois, 60636",1745 W 63rd St,Chicago,Illinois,60636,-87.668521,41.779363,https://www.chipublib.org/locations/135/,Public Agency,,,,in,Provides homework help and computer literacy support,,,,1,1,Library,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Capoeira Angola Foundation,"1757 N Kimball Ave, Chicago, Illinois, 60647",1757 N Kimball Ave,Chicago,Illinois,60647,-87.711734,41.913481,http://www.capoeira-angola-chicago.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,0,1,0,,
Foundations of Music,"1801 W Belle Plaine Ave, Chicago, Illinois, 60613",1801 W Belle Plaine Ave,Chicago,Illinois,60613,-87.674401,41.956004,http://www.foundationsofmusic.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,1,1,0,1,1,,
Muntu Dance Theatre,"1809 E 71st St, Chicago, Illinois, 60649",1809 E 71st St,Chicago,Illinois,60649,-87.580732,41.766013,http://www.muntu.com/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,1,1,1,1,1,1,1,,
New Generation Creative Learning Center,"1910 W 64th St, Chicago, Illinois, 60636",1910 W 64th St,Chicago,Illinois,60636,-87.671868,41.777572,,Early Childhood Program,,1,,in,Early childhood program including Head Start,,,1,,,center,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Urban Art Retreat Center,"1957 S Spaulding Ave, Chicago, Illinois, 60623",1957 S Spaulding Ave,Chicago,Illinois,60623,-87.707675,41.853752,http://www.urbanartretreat.com/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,,
Chicago Cares,"2 N Riverside Plz, Chicago, Illinois, 60606",2 N Riverside Plz,Chicago,Illinois,60606,-87.638758,41.881995,http://www.chicagocares.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,1,1,1,0,0,1,,
Lyric Opera of Chicago,"20 N Wacker Dr, Chicago, Illinois, 60606",20 N Wacker Dr,Chicago,Illinois,60606,-87.637069,41.882531,http://www.lyricopera.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,1,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,0,1,1,1,0,1,1,1,,
Earle,"2024 W 62nd St, Chicago, Illinois, 60636",2024 W 62nd St,Chicago,Illinois,60636,-87.674894,41.781183,http://earlestemelementary.org,Public School,Neighborhood elementary,1,,in,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,1,1,,School,,,,,,,1,,1,,1,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Gateways,"205 W Randolph St, Chicago, Illinois, 60606",205 W Randolph St,Chicago,Illinois,60606,-87.634171,41.884423,http://www.urbangateways.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,1,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,
The Ned Show,"20700 44th Ave W, Lynnwood, Washington, 98036",20700 44th Ave W,Lynnwood,Washington,98036,-122.292381,47.810289,http://www.thenedshow.com/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,1,School,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,0,0,0,0,0,,
Precious Little Ones-63rd,"22 E 63rd St, Chicago, Illinois, 60637",22 E 63rd St,Chicago,Illinois,60637,-87.624191,41.780038,,Early Childhood Program,,1,,near,Head Start and Early Head Start,,,1,,,center,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Museum of Contemporary Art,"220 E Chicago Ave, Chicago, Illinois, 60611",220 E Chicago Ave,Chicago,Illinois,60611,-87.621752,41.896818,http://www.mcachicago.org/,Museum,,,,out,"Works through schools to provide visual arts, field trips, in school performance, after school programs, and other services and resources.",,,,1,1,school,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,,
Chicago Symphony Orchestra,"220 S Michigan Ave, Chicago, Illinois, 60604",220 S Michigan Ave,Chicago,Illinois,60604,-87.624449,41.87909,http://www.cso.org/institute,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1,1,1,1,1,,
Chicago Arts Partnerships in Education (CAPE),"228 S Wabash Ave, Chicago, Illinois, 60604",228 S Wabash Ave,Chicago,Illinois,60604,-87.626098,41.878639,http://www.capeweb.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,1,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Claremont,"2300 W 64th St, Chicago, Illinois, 60636",2300 W 64th St,Chicago,Illinois,60636,-87.681149,41.777447,http://claremontcps.org,Public School,Neighborhood elementary,1,,in,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,1,1,,School,,,,,,,1,,1,,,,,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Arts Center,"2407 W 111th St, Chicago, Illinois, 60655",2407 W 111th St,Chicago,Illinois,60655,-87.681429,41.691763,http://www.beverlyartcenter.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,,
Sherwood,"245 W 57th St, Chicago, Illinois, 60621",245 W 57th St,Chicago,Illinois,60621,-87.632042,41.790863,http://www.sherwood.cps.edu,Public School,Neighborhood elementary,1,,in,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,1,1,,School,,,,,,,1,,1,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo Theater Chicago,"2450 N Lincoln Ave, Chicago, Illinois, 60614",2450 N Lincoln Ave,Chicago,Illinois,60614,-87.650242,41.926476,http://www.apollochicago.com/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,,
Chicago Danztheatre Ensemble,"2480 N Albany Ave, Chicago, Illinois, 60647",2480 N Albany Ave,Chicago,Illinois,60647,-87.706752,41.926173,http://www.danztheatre.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,1,1,1,,
Mother's Touch,"2501 W 71st St, Chicago, Illinois, 60629",2501 W 71st St,Chicago,Illinois,60629,-87.685861,41.764643,,Early Childhood Program,,1,,near,Head Start and Early Head Start,,,1,,,center,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Kids Village Learning II,"2656 W 71st St, Chicago, Illinois, 60629",2656 W 71st St,Chicago,Illinois,60629,-87.690371,41.764618,,Early Childhood Program,,1,,near,Head Start,,,1,,,center,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Kids Rock,"271 Grove Ave, Verona, New Jersey, 07044",271 Grove Ave,Verona,New Jersey,07044,-74.236871,40.844868,http://www.littlekidsrock.org/,Community organization,,,Provide services only through public schools in Englewood,out,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,1,,School,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,1,1,1,1,1,,
